id,date,semester,subject,category,type,amount,handled_by,note,created_at
5ef281b9-7ff3-47b1-947b-0ee2b3f143f8,2025-08-25,二上,返校日班費,班費收入,income,3700,林家賢,100×37,2026-07-29T18:04:15+08:00
a4fb6dce-77d3-4230-b7d3-9882df493feb,2025-09-01,二上,冷氣儲值,冷氣,expense,1100,林家賢,,2026-07-29T18:14:28+08:00
c41dc1c0-883d-462b-9dd5-d0701c5bcedb,2025-09-09,二上,冷氣儲值,冷氣,expense,500,林家賢,,2026-07-29T18:14:28+08:00
49b916d4-c3ab-4892-bb2c-975e7af30f6d,2025-09-11,二上,冷氣儲值,冷氣,expense,1000,林家賢,,2026-07-29T18:14:28+08:00
27a3e69c-0674-49a1-8325-182e80712cf2,2025-09-17,二上,學資費用,其他,expense,2960,林家賢,,2026-07-29T18:14:28+08:00
fd5e6157-016e-40fd-9129-634113ad6e45,2025-09-19,二上,冷氣儲值,冷氣,expense,1000,林家賢,,2026-07-29T18:14:28+08:00
cee29a39-118f-48f9-a6e1-97fc1ae08474,2025-09-19,二上,教師節卡片,活動,expense,120,林家賢,,2026-07-29T18:14:28+08:00
b88ed30c-7443-4e37-a818-bd7d7d97c619,2025-10-01,二上,英文雜誌費用,教材與影印,expense,17760,林家賢,,2026-07-29T18:14:28+08:00
f88fdc39-294e-4e87-8857-f830dc4d61c4,2025-10-02,二上,冷氣儲值,冷氣,expense,1000,林家賢,,2026-07-29T18:14:28+08:00
5243317d-8b8f-4ea2-b68d-e8794cb4cb8f,2025-10-08,二上,班費,班費收入,income,90000,林家賢,2500×36,2026-07-29T18:14:28+08:00
b3eb8150-675b-422c-8b6e-8f972fed9cd4,2025-10-14,二上,冷氣儲值,冷氣,expense,500,林家賢,,2026-07-29T18:14:28+08:00
30007302-6034-48d0-966d-ab309c711da3,2025-10-22,二上,書款,教材與影印,expense,12987,林家賢,含國、英考卷、化學講義,2026-07-29T18:14:28+08:00
f91ee4fa-ee7a-4568-b43e-de42d3e799d0,2025-10-22,二上,家長會廁所清潔費,清潔用品,expense,18500,林家賢,500×37,2026-07-29T18:14:28+08:00
c0c41801-7d71-48d9-8133-8f2858999f3b,2025-10-23,二上,日本交流餐費,活動,expense,8658,林家賢,,2026-07-29T18:14:28+08:00
4ca4e2a2-ec5a-4d5a-afd1-b222b7fa06cc,2025-10-29,二上,園遊會報名費,活動,expense,1000,林家賢,,2026-07-29T18:14:28+08:00
bc9a3ea9-f0ce-4fe7-bc2e-22694ca2d2fa,2025-10-31,二上,班導自費麵錢,其他,income,100,林家賢,,2026-07-29T18:14:28+08:00
f7f0dfc9-fdbe-483c-8cda-f654ba84e454,2025-10-31,二上,拾遺,其他,income,1,林家賢,,2026-07-29T18:14:28+08:00
b917e6e9-e3d7-4464-8f19-2da0ec5693a4,2025-10-31,二上,日本交流飲料費,活動,income,100,林家賢,原表未填日期，暫沿用10/31,2026-07-29T18:14:28+08:00
8ba31bc8-8b03-4f95-a4eb-a1305b91459d,2025-10-31,二上,班費加拾遺,班費收入,income,2600,林家賢,26號班費加拾遺100；原表未填日期，暫沿用10/31,2026-07-29T18:14:28+08:00
76a31ccd-d16f-4ab8-93ed-abcacd4cc2ff,2025-11-08,二上,園遊會成本,活動,expense,3196,林家賢,,2026-07-29T18:14:28+08:00
2c858831-c19a-4f9e-983d-3a2f3613a124,2025-11-08,二上,園遊會總收入,活動,income,6360,林家賢,,2026-07-29T18:14:28+08:00
6d725c50-8c5d-47b3-8e86-40277ff080e2,2026-01-06,二上,生活科技教材費,教材與影印,expense,1658,林家賢,,2026-07-29T18:14:28+08:00
7cb927f6-b462-4642-85a0-eb86cf487913,2026-01-17,二上,賠學校籃球,其他,expense,390,林家賢,籃球×1,2026-07-29T18:14:28+08:00
